haskell-diff 0.4.1-55
haskell-digest 0.0.1.7-1
haskell-distributive 0.6.2.1-189
haskell-dlist 1.0-211
haskell-doclayout 0.4.0.1-2
haskell-doctemplates 0.11-26
haskell-easy-file 0.2.5-1
haskell-emojis 0.1.2-54
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.2-28
haskell-fgl 5.8.1.1-6
haskell-file-embed 0.0.15.0-1
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-70
haskell-gridtables 0.1.0.0-21
haskell-haddock-library 1.10.0-224
haskell-hashable 1.4.2.0-23
haskell-hourglass 0.2.12-226
haskell-hslua 2.3.0-5
haskell-hslua-aeson 2.3.0-5
haskell-hslua-classes 2.3.0-9
haskell-hslua-core 2.3.1-3
haskell-hslua-list 1.1.1-15
haskell-hslua-marshalling 2.3.0-4
haskell-hslua-module-doclayout 1.1.0-6
haskell-hslua-module-path 1.1.0-5
haskell-hslua-module-system 1.1.0-4
haskell-hslua-module-text 1.1.0-4
haskell-hslua-module-version 1.1.0-5
haskell-hslua-module-zip 1.1.0-4
haskell-hslua-objectorientation 2.3.0-4
haskell-hslua-packaging 2.3.0-4
haskell-hslua-repl 0.1.1-3
haskell-hslua-typing 0.1.0-4
haskell-http-api-data 0.5.1-12
haskell-http-client 0.7.13.1-58
haskell-http-client-tls 0.3.6.3-1
haskell-http-date 0.0.11-116
haskell-http-media 0.8.0.0-185
haskell-http-types 0.12.3-305
haskell-http2 3.0.3-52
haskell-hunit 1.6.2.0-188
haskell-indexed-traversable 0.1.2.1-1
haskell-indexed-traversable-instances 0.1.1.2-3
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-61
haskell-ipynb 0.2-96
haskell-isocline 1.0.9-1
haskell-jira-wiki-markup 1.5.1-2
haskell-juicypixels 3.3.8-11
haskell-lexer 1.1.1-1
haskell-libyaml 0.1.2-303
haskell-lpeg 1.0.4-5
haskell-lua 2.3.1-2
haskell-memory 0.17.0-47
haskell-mime-types 0.1.1.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-82
haskell-mono-traversable 1.0.15.3-131
haskell-network 3.1.3.0-3
haskell-network-byte-order 0.1.6-158
haskell-network-uri 2.6.4.2-10
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-55
haskell-optparse-applicative 0.17.0.0-45
haskell-pandoc 3.1.2-24
haskell-pandoc-lua-engine 0.2-23
haskell-pandoc-lua-marshal 0.2.2-14
haskell-pandoc-server 0.1-98
haskell-pandoc-types 1.23-27
haskell-pem 0.2.4-264
haskell-pretty-show 1.10-14
haskell-primitive 0.7.4.0-71
haskell-psqueues 0.2.7.3-62
haskell-quickcheck 2.14.3-8
haskell-random 1.2.1.1-109
haskell-recv 0.1.0-9
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2.2-2
haskell-resourcet 1.2.6-31
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.4-1
haskell-scientific 0.3.7.0-93
haskell-semialign 1.2.0.1-119
haskell-semigroupoids 5.3.7-101
haskell-servant 0.19.1-43
haskell-servant-server 0.19.2-74
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.31-14
haskell-singleton-bool 0.1.7-1
haskell-skylighting 0.13.3-2
haskell-skylighting-core 0.13.3-2
haskell-skylighting-format-ansi 0.1-68
haskell-skylighting-format-blaze-html 0.1.1-64
haskell-skylighting-format-context 0.1.0.2-33
haskell-skylighting-format-latex 0.1-68
haskell-socks 0.6.1-215
haskell-some 1.0.5-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-26
haskell-splitmix 0.1.0.4-136
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.6-5
haskell-strict 0.4.0.1-161
haskell-string-conversions 0.4.0.1-151
haskell-syb 0.7.2.3-6
haskell-tagged 0.8.7-1
haskell-tagsoup 0.14.8-206
haskell-temporary 1.3-523
haskell-texmath 0.12.8-2
haskell-text-conversions 0.3.1.1-41
haskell-text-icu 0.8.0.2-30
haskell-text-short 0.1.5-59
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-23
haskell-th-lift 0.8.4-1
haskell-th-lift-instances 0.1.20-27
haskell-these 1.1.1.1-188
haskell-time-compat 1.9.6.1-77
haskell-time-manager 0.0.1-1
haskell-tls 1.7.1-2
haskell-transformers-base 0.4.6-82
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.11.0-4
haskell-typst-symbols 0.1.2-1
haskell-unicode-collation 0.1.3.4-5
haskell-unicode-data 0.4.0.1-13
haskell-unicode-transforms 0.4.0.1-50
haskell-uniplate 1.6.13-187
haskell-unix-compat 0.7-2
haskell-unix-time 0.4.10-1
haskell-unliftio 0.2.24.0-5
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.19.1-70
haskell-utf8-string 1.0.2-130
haskell-uuid-types 1.0.5-97
haskell-vault 0.3.1.5-149
haskell-vector 0.13.0.0-43
haskell-vector-algorithms 0.9.0.1-53
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-194
haskell-wai-app-static 3.1.7.4-160
haskell-wai-cors 0.2.7-311
haskell-wai-extra 3.1.13.0-138
haskell-wai-logger 2.4.0-289
haskell-warp 3.3.28-7
haskell-witherable 0.4.2-60
haskell-word8 0.1.3-22
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.3-3
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.11.2-1
haskell-zip-archive 0.4.3-6
haskell-zlib 0.6.3.0-40
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.6-1
hslua-cli 1.4.1-4
htop 3.2.2-1
http-parser 2.9.4-1
hwdata 0.373-1
hwinfo 23.2-1
hwloc 2.9.1-1
hyperv 6.3-4
hyphen 2.8.8-5
iana-etc 20230803-1
icu 73.2-2
ijs 0.35-5
imath 3.1.9-1
imlib2 1.12.0-1
intel-ucode 20230808-1
iproute2 6.4.0-1
iptables 1:1.8.9-1
iputils 20221126-2
irssi 1.4.4-3
iso-codes 4.15.0-1
iw 5.19-2
iwd 2.7-1
